"section","order","file","originalName","width","height","alt","context"
"hero-and-akool","0","images/kw8vfuk4bb5yDcVGQ7M5C97c.png","kw8vfuk4bb5yDcVGQ7M5C97c.png","84","82","",""
"hero-and-akool","1","images/A0XixKFvjxxQJ8sgnzGXtNOqDHY.png","A0XixKFvjxxQJ8sgnzGXtNOqDHY.png","103","45","",""
"hero-and-akool","2","images/To57oBa2ocWjVytjkOui11T34mw.png","To57oBa2ocWjVytjkOui11T34mw.png","100","36","",""
"hero-and-akool","3","images/Zd7OrY7H5XHsE3rzT7EXdTghgTE.png","Zd7OrY7H5XHsE3rzT7EXdTghgTE.png","50","48","",""
"hero-and-akool","4","images/n74DOv2JFA2nvO5udrdVj3m2Vo.png","n74DOv2JFA2nvO5udrdVj3m2Vo.png","1035","779","",""
"hero-and-akool","5","images/yYHAJfe5mnD3HJq2JUhf8foM5g.png","yYHAJfe5mnD3HJq2JUhf8foM5g.png","64","122","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","6","images/rnSNcUt7AARtRxfQlOMi5CdyF2M.png","rnSNcUt7AARtRxfQlOMi5CdyF2M.png","283","176","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","7","images/tYMeKa1vpUZTjR7sxgn2Y1M6o.png","tYMeKa1vpUZTjR7sxgn2Y1M6o.png","47","47","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","8","images/I5XJ7YWLit19wYZ01Z4xo2T31o.png","I5XJ7YWLit19wYZ01Z4xo2T31o.png","37","37","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","9","images/uzlQLN9YQT1zhfi1XhNFOeGCHE8.png","uzlQLN9YQT1zhfi1XhNFOeGCHE8.png","45","45","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","10","images/xnUg8RExk6YNQ5qMsbAcLOnpcxs.png","xnUg8RExk6YNQ5qMsbAcLOnpcxs.png","48","48","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"featured-projects","11","images/ipvYobD6R5gwDM75HADMY4uXqIU.png","ipvYobD6R5gwDM75HADMY4uXqIU.png","637","546","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","12","images/UHIhF5z0rCwMx3ofY9ZhMuKAQ.png","UHIhF5z0rCwMx3ofY9ZhMuKAQ.png","82","65","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","13","images/uyvQS3H8LhnvBbVBcNK4tbvxE.png","uyvQS3H8LhnvBbVBcNK4tbvxE.png","25","25","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","14","images/F88Oars6dEz3rF4fRVs49pXXZ0A.png","F88Oars6dEz3rF4fRVs49pXXZ0A.png","57","57","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
